country,question,mean_wave_1,mean_wave_7,change_direction,change_magnitude,t_statistic,p_value
JPN,E025,1.6752221125370188,1.5846407927332782,Drop,-0.09058131980374062,2.8876379558826293,0.003920059500031154
KOR,E025,2.094364351245085,2.1775100401606426,Increase,0.08314568891555751,-2.585835832595389,0.009800559584223434
MEX,E018,1.4106753812636166,1.464968152866242,Increase,0.054292771602625356,-2.5354395851957974,0.01127317110804311
ARG,E023,2.7238955823293174,2.8294884653961887,Increase,0.10559288306687131,-2.4983727118985093,0.012556606690593393
MEX,E023,3.0201415351115948,2.9448275862068964,Drop,-0.07531394890469834,2.4054881751794865,0.016201368014170117
MEX,E069_13,2.852476864452912,2.9299474605954465,Increase,0.07747059614253438,-2.390226529529418,0.016890215116608768
KOR,E003,2.002155172413793,2.10281124497992,Increase,0.10065607256612674,-2.3028972195871273,0.021399375485935703
ARG,E016,1.5757261410788381,1.647242455775234,Increase,0.07151631469639597,-2.002592317941762,0.04536527436261453
JPN,F118,2.6023506366307543,6.710180623973727,Increase,4.1078299873429724,-37.765063160527326,7.091143014132226e-241
AUS,F118,3.7689684569479964,7.387720295622513,Increase,3.6187518386745166,-31.524716925645027,2.61568287654636e-185
JPN,F025_WVS,64684161.798657715,89807449.31061193,Increase,25123287.51195422,-33.36308993220208,4.826867626639255e-182
JPN,F025,6.1046979865771815,2.373353989155693,Drop,-3.7313439974214884,31.680698004524086,2.178578249822072e-179
ARG,F118,2.2190812720848054,6.023411371237458,Increase,3.8043300991526525,-30.479247779729526,6.18392825097504e-162
